Industry,Occupation,Person,Year,Content,Type,ID
Hollywood,Actor,Kevin Spacey,1986,"Made sexual advances against Anthony Rapp when he was 14 and Spacey, 26. ",Allegation,1
Hollywood,Actor,Kevin Spacey,2003,"Tony Montana told USA TODAY on Nov. 1 that a drunken Spacey confronted him in 2003 at a Los Angeles pub, groped his genitals and chased him into a bathroom. ""He grabbed my whole package, he grabbed me hard; no one had ever done that to me,"" said Montana, who was then in his 30s.",Allegation,2
Hollywood,Actor,Kevin Spacey,2007,"Roberto Cavazos, a Mexican actor, said in Spanish in a Facebook post on Oct. 30 that Spacey fondled or tried to fondle him against his will while he was at the Old Vic theater in London and Spacey was artistic director there. ""Those of us who were around him at the Old Vic know that a lot more people will come forward with their stories in the coming days and weeks,"" Cavazos said in the post.",Allegation,3
Hollywood,Actor,Kevin Spacey,2008,"Groped Harry Dreyfuss, 18 at the time, while Dreyfuss' father was in the room at the time at a rehearsal at the Old Vic",Allegation,4
Hollywood,Actor,Kevin Spacey,2010,"Flashed Daniel Beal, a British bartender, and attempted to silence him with a gift of a 5k watch",Allegation,5
Hollywood,Actor,Kevin Spacey,1988,"Justin Dawes told BuzzFeed on Nov. 3 he was 16 and a theater usher in New Haven, Conn., in 1988, when Spacey, then appearing in a play there, invited him and a male friend to his apartment to watch a movie. Instead, Dawes said, Spacey gave them cocktails and played pornography on the TV. Dawes said it was ""awkward"" but not intimidating, and they left without incident. Still, â€œHe knew that I was in high school. It was pretty clear. It's not like I was pretending to be an older, cooler person.â€ù",Allegation,6
Hollywood,Actor,Kevin Spacey,1995,"Mark Ebenhoch was a 35-year-old military advisor working in uniform on the set of 1995's Outbreak when, he said, Spacey (who had a role in the movie) instructed one of his ""harem"" of young male crewmembers to solicit him for sex with Spacey, BuzzFeed reported on Nov. 3. Ebenhoch turned him down feigning disgust because he was then in the closet himself and feared repercussions for his career. â€œAs a military adviser the last thing youâ€™d want anyone to know is that you were gay,â€ù he told BuzzFeed.",Allegation,7
Hollywood,Actor,Kevin Spacey,2007,"Kris Nixon, a 20-year-old bartender from Belfast, was working at a bar Spacey frequented near the Old Vic in 2007. He told People and The Sun on Nov. 6 he was invited to a party at Spaceyâ€™s London apartment; he was sitting on a sofa when Spacey sat beside him and grabbed his crotch. ""He was drunk but not paralytic. I walked over to (my girlfriend) and said, â€˜We need to leave.â€™ â€ù He brushed it off as ""just some drunk guy"" and never reported the incident. ""It was my word against his and who is going to believe me?""",Allegation,8
Hollywood,Actor,Kevin Spacey,2008,"London police said on Nov. 1 it is investigating an allegation by a man, then 23, who said Spacey sexually assaulted him in 2008 after he passed out at Spacey's London home where he had gone seeking advice on his career. He left after Spacey warned him to keep quiet about it.",Allegation,9
Hollywood,Actor,Kevin Spacey,1983,"A former child actortold Vulture on Nov. 2 that he began a sexual relationship with Spacey in 1983 when he was 14 and Spacey was 24, and that it ended when he was 15 and after Spacey allegedly attempted to rape him. He said he believes Spacey is a ""pedophile.""",Allegation,10
Hollywood,Actor,Kevin Spacey,2015,"CNN reported on Nov. 2 that a former production assistant on House of Cards said Spacey sexually assaulted him, putting his hand down the assistant's pants while Spacey was driving them to the Baltimore-area set during one of the show's early seasons. The assistant said the touching was non-consensual.",Allegation,11
Hollywood,Actor,Kevin Spacey,2002,"BuzzFeed reported on Nov. 3 that a British journalist then in his 20s interviewed Spacey for a magazine in London in the early 2000s and afterward went to a club with Spacey and some of his friends. He said Spacey repeatedly grabbed his genitals and angrily tried to block him from fleeing. The journalist realized he could not write about the encounter because it meant outing then-closeted Spacey as gay. ""If I were to publish a story about Kevin Spacey sexually harassing me on the job â€_ there's no way without making it quite clear that he likes guys,"" he said. The interview ran without his byline.",Allegation,12
Hollywood,Actor,Kevin Spacey,1984,"""John"" told the BBC's Victoria Derbyshire on Oct. 31 that Spacey tried to seduce him at his New York apartment in 1984 when he was 17. He said Spacey asked him to share his bed, but he slept on the sofa and woke up with the actor's arms around him. He said he didn't believe anything sexual took place, but added, ""I was uncomfortable at best, traumatized at worst.""",Allegation,13
